German,English
der,the (masculine)
die,the (feminine/plural)
und,and
in,in
den,the (accusative masculine)
von,from/of
zu,to/at
das,the (neuter)
mit,with
sich,oneself/themselves
des,of the (genitive)
auf,on/upon
für,for
ist,is
im,in the
dem,the (dative)
nicht,not
ein,a/an (masculine/neuter)
eine,a/an (feminine)
als,as/than/when
auch,also
es,it
an,at/on
werden,to become/will
aus,out/from
er,he
hat,has
dass,that
sie,she/they
nach,after/to
wird,becomes/will
bei,at/by/with
einer,a (dative/genitive)
um,around/at
am,at the
sind,are
noch,still/yet
wie,how/like
einem,a (dative)
über,over/about
einen,a (accusative)
so,so
zum,to the
war,was
haben,to have
nur,only
oder,or
aber,but
vor,before/in front
zur,to the (feminine)
bis,until/to
mehr,more
durch,through
man,one/you
sein,to be/his
wurde,was/became
sei,be (subjunctive)
in,into
ich,I
Jahr,year
Jahre,years
Jahren,years (dative)
Zeit,time
Menschen,people
kann,can
gegen,against
vom,from the
gut,good
dieser,this
Leben,life
Ende,end
diese,this/these
gibt,gives
Prozent,percent
während,during/while
seit,since
unter,under/among
diesem,this (dative)
ersten,first
neu,new
Tag,day
bereits,already
bis,until
dann,then
Deutschland,Germany
anderen,other
sehr,very
jedoch,however
heute,today
zwei,two
jedoch,however
keine,no/none
nun,now
ihre,her/their
Land,country/land
Teil,part
zwischen,between
schon,already
keine,no
mehr,more
Stadt,city
dabei,thereby/in doing so
weil,because
seiner,his/its
alle,all
allem,everything (dative)
wieder,again
dessen,whose
München,Munich
ihrer,their/her (genitive)
ohne,without
Welt,world
sowie,as well as
etwa,approximately
ganz,quite/whole
drei,three
mal,times/once
dort,there
ebenso,likewise
Platz,place/square
beiden,both
gegenüber,opposite/toward
dies,this
zwar,indeed/admittedly
ihrem,their/her (dative)
anderen,others
damit,with it/thereby
viel,much
große,big/great
können,can/to be able
möglich,possible
weniger,less/fewer
war,was
wohl,probably/well
ihren,their (accusative)
zusammen,together
binnen,within
unserem,our (dative)
lange,long
Frau,woman/Mrs.
lässt,lets/leaves
ebenfalls,likewise/also
wäre,would be
Mai,May
gleich,equal/same/immediately
liegt,lies/is located
Haus,house
laut,loud/according to
habe,have
beiden,both
kommt,comes
musste,had to
große,large
kleine,small
kurz,short
vier,four
hin,there/toward
nichts,nothing
Weg,way/path
Mann,man
jetzt,now
Millionen,millions
sogar,even
Arbeit,work
einmal,once
viele,many
heißt,is called/means
gilt,is valid/applies
anderen,other
Gruppe,group
wenig,little/few
wegen,because of
gerade,just/straight
eigenen,own
später,later
Politik,politics
daher,therefore
soll,should
gestern,yesterday
doch,but/however
Ort,place/location
weiteren,further
sehen,to see
Kinder,children
gemacht,made
ihm,him (dative)
Kunst,art
gut,well
anderen,other
geworden,become
gehört,belongs/heard
Berlin,Berlin
Raum,room/space
jeder,every/each
Hilfe,help
Familie,family
Seite,side/page
Staat,state
deutschen,German
besonders,especially
ließ,let/left
fünf,five
steht,stands
Geschichte,story/history
letzten,last
Name,name
Stelle,place/position
deshalb,therefore
früher,earlier/formerly
denen,those (dative)
damals,at that time
weitere,further
hätte,would have
Frage,question
worden,become (past participle)
deutlich,clear/clearly
dabei,in doing so
gekommen,come
geben,to give
gleichen,same
zehn,ten
gemeinsam,together/jointly
ihren,their
vielen,many
solche,such
völlig,completely
hätten,would have
größten,largest
dazu,to that/for that
erhalten,to receive
gemacht,made
zahlreiche,numerous
Weise,way/manner
Buch,book
Kirche,church
mehrere,several
inzwischen,meanwhile
dürfen,may/to be allowed
Grund,reason/ground
Anfang,beginning
früh,early
zurück,back
Wochen,weeks
solle,should (subjunctive)
liegen,to lie/be located
gab,gave
solchen,such
gekommen,come
Unternehmen,company/enterprise
jeweils,respectively
Bereich,area/field
geht,goes
somit,thus
dar,there (archaic)
Entwicklung,development
stehen,to stand
gewesen,been
würde,would
Hand,hand
kam,came
neuen,new
Fall,case/fall
wenigen,few
Tage,days
sagte,said
sagt,says
häufig,frequently
gegenüber,opposite
alten,old
deutschen,German
Recht,right/law
daran,on it/about it
befindet,is located
geben,give
führte,led
jeweiligen,respective
Form,form/shape
aller,of all
vielen,many
ganzen,whole/entire
dabei,thereby
Meter,meter
liegt,lies
führt,leads
nahe,near
kleine,small
setzen,to set/place
